Alfredton combined,Alfredton North,Alfredton South,Dreyers Rock,,,,,
Alpine Caswell combined,Alpine Caswell,Alpine Caswell - South George,Alpine George seaward,Alpine Nancy,,,,
Alpine George - Wairau combined,Alpine George landward,Alpine George to Jacksons,Alpine Jacksons to Kaniere,Alpine Kaniere to Springs Junction,Alpine Springs Junction to Tophouse,Wairau,Wairau 2,Wairau 3
Alpine Resolution - combined,Alpine Resolution - Charles,Alpine Resolution - Dagg,Alpine Resolution - Five Fingers,,,,,
Hope combined,Hope Conway,Hope Hanmer SE,Hope Hanmer SW,Hope Hope River,Hope Hurunui,Hope Kakapo-2-Hamner,Hope Seaward,Hope Taramakau
Jordan - Kekerengu - Needles combined,Jordan,Kekerengu 1,Needles,,,,,
Awatere - Vernon combined,Awatere Northeast 1,Vernon 1,Vernon 2,Vernon 3,Vernon 4,Barefell,,
Cloudy combined,Cloudy 1,Cloudy 2,Cloudy 3,,,,,
Chancet - Campbell Bank combined,Campbell Bank,Chancet,,,,,,
Wairarapa Needles combined,Wairarapa 1,Wairarapa 2,Wairarapa 3,Wairarapa Needles,,,,
Clarence Northeast combined,Clarence Northeast,Elliott,,,,,,
Clarence Southwest combined,Clarence Southwest,Clarence Central,,,,,,
Edgecumbe - White Island combined,Edgecumbe 1987,Edgecumbe Coastal,White Island 1,,,,,
Fisherman combined,Fisherman 1,Fisherman 2,,,,,,
Te Rapa combined,Hope Te Rapa,Te Rapa 1,Te Rapa 2,,,,,
Kairakau combined,Kairakau 2,Kairakau South,,,,,,
Pahaua - Kekerengu Bank combined,Kekerengu Bank,Pahaua,,,,,,
Maimai combined,Inangahua,Maimai,Maimai North,Maimai South,,,,
Waewaepa combined,Makuri - Waewaepa,Waewaepa,,,,,,
Wellington - Whakatane combined,Mohaka North,Mohaka South,Wellington Pahiatua,Wellington Tararua 1,Wellington Tararua 2,Wellington Tararua 3,Whakatane North,Whakatane South
Waimana combined,Waimana North,Waimana South,,,,,,
Motu o Kura combined,Motu o Kura North,Motu o Kura Ridge,,,,,,
Ohariu combined,Ohariu,Ohariu South 1,Ohariu South 2,,,,,
Pukerua - Shepherds Gully combined,Pukerua - Shepherds Gully 1,Pukerua - Shepherds Gully 2,Pukerua - Shepherds Gully 3,,,,,
Puketerata combined,Puketerata,Puketerata North,,,,,,
Waiotahi combined,Waiotahi North,Waiotahi South,Waimana - Waikaremoana,,,,,
Wellington Hutt Valley combined,Wellington Hutt Valley 1,Wellington Hutt Valley 2,Wellington Hutt Valley 3,Wellington Hutt Valley 4,Wellington Hutt Valley 5,,,
Madagascar - Barn combined,Barn,Madagascar,,,,,,
Cape Foulwind combined,Cape Foulwind 1,Cape Foulwind 2,,,,,,
Dry River - Huangarua combined,Dry River - Huangarua 1,Dry River - Huangarua 2,Dry River - Huangarua 3,,,,,
Waimea combined,Flaxmore - Waimea - Tahunanui,Waimea Offshore,,,,,,
Hokonui - Hillfoot combined,Hillfoot,Hokonui,,,,,,
Leader combined,Leader Central,Leader North,Leader South,,,,,
Mokonui combined,Mokonui Northeast,Mokonui Southwest,,,,,,
Otaheke combined,Otaheke North,Otaheke South,Shepherds Gully - Mana,,,,,
Paparoa West combined,Paparoa West,Paparoa West North,,,,,,
Rangefront - Wakarara combined,Rangefront,Wakarara,,,,,,
Ruahine - Waiohau combined,Ruahine Central,Ruahine North,Waiohau North,Waiohau South,Ruahine South,,,
Surville - Ruby Bay - Moutere combined,Ruby Bay - Moutere,Surville,,,,,,
Wheao combined,Te Whaiti North,Wheao North,Wheao South,,,,,
Turi combined,Turi Central,Turi North,Turi South,,,,,
Waiotahi combined,Waiotahi North,Waiotahi South,,,,,,
Wakamarama combined,Wakamarama,Wakamarama Offshore,,,,,,
Titri combined,Titri Central,Titri North,,,,,,
Hurunui Peak - Mt Arden combined,Mt Arden,Hurunui Peak,,,,,,
