fault_name,end,extend_distance,fit_distance
Hope combined,W,40000.0,5000.0
Jordan - Kekerengu - Needles combined,SW,40000.0,5000.0
Cloudy combined,SW,40000.0,5000.0
Chancet - Campbell Bank combined,NE,40000.0,5000.0
Waimana combined,SW,40000.0,5000.0
Mokonui combined,SW,40000.0,5000.0
Ruahine - Waiohau combined,SW,40000.0,5000.0
Wheao combined,NE,40000.0,5000.0
Akatarawa,NE,40000.0,5000.0
Akatarawa,SW,40000.0,5000.0
Awakeri,NE,40000.0,5000.0
Awakeri,S,40000.0,5000.0
Awatere Northeast 2,NE,40000.0,5000.0
Awatere Northeast 2,SW,40000.0,5000.0
Awatere Southwest,E,40000.0,5000.0
Awatere Southwest,W,40000.0,5000.0
Balmoral,N,40000.0,5000.0
Boby Stream,W,40000.0,5000.0
Browning Pass,NE,40000.0,5000.0
Cape Egmont Central,SW,40000.0,5000.0
Carterton,W,40000.0,5000.0
Drury,S,40000.0,5000.0
Fidget,E,40000.0,5000.0
Fidget,W,40000.0,5000.0
Fowlers,W,40000.0,5000.0
Hanmer,E,40000.0,5000.0
Hope Hanmer NW,SW,40000.0,5000.0
Hope Hanmer NW,NE,40000.0,5000.0
Kakapo,E,40000.0,5000.0
Kakapo,W,40000.0,5000.0
Kelly,E,40000.0,5000.0
Kelly,W,40000.0,5000.0
London Hill,SW,40000.0,5000.0
Masterton,W,40000.0,5000.0
Opawa,SE,40000.0,5000.0
Papatea,NW,40000.0,5000.0
Papatea,S,40000.0,5000.0
Redcliffe,N,40000.0,5000.0
Saunders Road,SW,40000.0,5000.0
Springbank,NE,40000.0,5000.0
St Stephens,NE,40000.0,5000.0
Sugarloaf,NW,40000.0,5000.0
Sugarloaf,SE,40000.0,5000.0
Teviot,S,40000.0,5000.0
Tokomaru,SW,40000.0,5000.0
Uruti Ridge 2,SW,40000.0,5000.0
Virginia,E,40000.0,5000.0
Waikaia,S,40000.0,5000.0
Waikaka,S,40000.0,5000.0
Waimate,N,40000.0,5000.0
Whangamoa,SW,40000.0,5000.0
Wharanui,NE,40000.0,5000.0
