Waitangi,Fern Gully
BooBoo,Jordan - Kekerengu - Needles combined
Teviot,Spylaw
Teviot,Wendon Valley
Wakamarama combined,Kongahau
Balmoral,Mt Culverden
Moonlight South,Mossburn
Awakeri,Otakiri
Pancake,Lees Valley
Little Hillfoot,Settlement
Wendon Valley,Waikaka
Mt Sutton,Dryburgh
Blue Lake,Raggedy - Blackstone
Clarence Southwest combined,Clarence Northeast combined
Grandview,Timaru Creek
Grandview,Cluden
Grandview,Dromedary
Stonewall,Campbell Hills
Waitaki,Awamoa
Opape 1,Raukumara 17
Ohae 2,Kotare - Moutuhora
Hariki,Kereu
Tin Hut,Monowai
Esk South,Porters Pass
Little Valley,Lake Onslow
Opawa,Albury
Leader combined,The Humps
Uruti East - PorWest 1,Uruti Basin
Braemar,Edgecumbe - White Island combined
Puketerata combined,Whangamata West
Otara East 1,Volkner 4
Rotoitipakau,Edgecumbe - White Island combined
Motu River,Raukumara 17
Okaia 3,Ridge Road - Okaia 2
Raukumara 18,Raukumara 17
